stage,dependency,status,original_location_or_archive_member,evidence,impact,required_followup
raw,Weibo raw,matched_recorded_digest,BRACE-Phase13A-20260912/data/dataset_weibo_deephawkes.txt,BRACE-Phase13B-20260912/FROZEN_DATA_PROTOCOL.json.source_files,الإصدار المستخدم متاح؛ لا بديل منزّل,
raw,SEISMIC event data,matched_recorded_digest,BRACE-Phase13B-20260912/data/seismic_data.csv,BRACE-Phase13B-20260912/FROZEN_DATA_PROTOCOL.json.source_files,الإصدار المستخدم متاح؛ لا بديل منزّل,
raw,SEISMIC index,matched_recorded_digest,BRACE-Phase13B-20260912/data/seismic_index.csv,BRACE-Phase13B-20260912/FROZEN_DATA_PROTOCOL.json.source_files,الإصدار المستخدم متاح؛ لا بديل منزّل,
13A,code + root audit + original reference/manifest,matched_recorded_digest,BRACE-Phase13A-20260912/recovery/BRACE_PHASE13A_RETURN.zip,root MANIFEST and source/consumer bindings in SOURCE_VERIFICATION.json,ملفات التشغيل المسجل متاحة ومطابقة,
13B,parser + cohorts + role features/targets/prefixes + exclusions,matched_recorded_digest,BRACE-Phase13B-20260912/recovery/BRACE_PHASE13B_RETURN.zip,root MANIFEST and source/consumer bindings in SOURCE_VERIFICATION.json,ملفات التشغيل المسجل متاحة ومطابقة,
13E,complete source and candidate training/selection +40 selected objects,matched_recorded_digest,BRACE-Phase13E-20260912/recovery/BRACE_PHASE13E_RETURN_20260912T222937Z.zip,root MANIFEST and source/consumer bindings in SOURCE_VERIFICATION.json,ملفات التشغيل المسجل متاحة ومطابقة,
13F,test code + all40 score streams +calibration +bootstrap +sensitivity,matched_recorded_digest,BRACE-Phase13F-20260913/recovery/BRACE_PHASE13F_RETURN_20260913T064116Z.zip,root MANIFEST and source/consumer bindings in SOURCE_VERIFICATION.json,ملفات التشغيل المسجل متاحة ومطابقة,
14,complete source +42 noise objects +3 synthetic objects +noise matrices +scores +strata/MSLE/bootstrap/figures,matched_recorded_digest,BRACE-Phase14-20260913/recovery/BRACE_PHASE14_RETURN_20260913T192805Z.zip,root MANIFEST and source/consumer bindings in SOURCE_VERIFICATION.json,ملفات التشغيل المسجل متاحة ومطابقة,
13E/F/14,versioned Python/library requirements and historical env,available_original_records,BRACE-Phase13E-20260912/recovery/BRACE_PHASE13E_RETURN_20260912T222937Z.zip::source/vendor/requirements.lock.txt,ENVIRONMENT.json and runner version gates,البيئة الثنائية نفسها مستبعدة عمدًا؛ portability لم تختبر,إعداد بيئة بالإصدارات المسجلة في مهمة مستقلة؛ لا تنزيل الآن
kit-assembly,original standalone script assembling phase kits from13B,not_identified,BRACE-Phase13E-20260912/recovery/BRACE_PHASE13E_RETURN_20260912T222937Z.zip::source/provenance/DATA_SUBSET_RECEIPT.json;BRACE-Phase13F-20260913/recovery/BRACE_PHASE13F_RETURN_20260913T064116Z.zip::source/provenance/TEST_DATA_RECEIPT.json,all12 compressed+expanded feature/target bytes and role memberships match,لا ينقص مدخل لتشغيل الحزم الجاهزة؛ غياب نقطة تجميع واحدة يمنع ادعاء توفر pipeline خام→كل الحزم بضغطة واحدة,استخدام الحزم الأصلية أو تحديد شيفرة التجميع في مهمة بناء Pipeline؛ لا اخترع entrypoint
historical provenance,781 inherited source-manifest references outside nested pilot RETURN payloads,not_current_payload_obligations,INHERITED_MANIFEST_REFERENCES.csv,root manifests complete; source manifests refer to prior reference bundles,لا نقص في13E/F/14 المستعملة؛ لا ادعاء اكتمال إعادة جميع pilots التاريخية,إن طلبت إعادة تلك pilots تحديدًا يلزم نطاق مستقل؛ لا تتبع old
paper,latest reviewed Overleaf/current-title manuscript,missing_in_permitted_search,no independent local project found; source/editorial in14 is older draft,metadata discovery excludes prior exports/old; known14 source editorial title differs,غياب طبقة التحرير الحديثة لا يمنع جمع الأدلة العلمية,نقل مشروع الورقة الحديث من المحادثة في الخطوة اللاحقة
runtime,historical interpreter absolute paths,excluded_environment_directory,/Users/fahad/Documents/Research-Projects/RADIC/BRACE-Phase13C-20260912/.venv/bin/python,13F/14 run/ENVIRONMENT.json,احتفظ بالهوية المسجلة فقط؛ لا تجمع بيئة افتراضية,لا تستنتج البيئة من Python الحالي
authorship,current author declarations and institutional approvals,not_part_of_experimental_origin_verification,,current task asks original experiment assets,لا استنتاج للمؤلفين أو الأخلاق من الأصول,تستكمل في طبقة الورقة
