item,reference_value,local_value,status,local_source,approval_evidence,required_followup
1 — العنوان,Prefix Size and Timing in Probabilistic Forecasts of Recorded Cascade Growth,العنوان نفسه,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md#title,تطابق المصدر المشار إليه؛ لا يُفترض اعتماد مؤلفين نهائي,للبند 7: تحديث التحرير لاحقًا؛ للبند 9: توفير مشروع الوعاء وقراره؛ بقية البنود لا تحتاج تجربة
2 — السؤال والمساهمة,دراسة تجريبية للقيمة الإضافية للتوقيت؛ لا احتواء ولا NLP جديد,مطابق؛ دون ادعاء تفوق على جميع نماذج الانتشار,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md#1; BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/PROTOCOL_PHASE14.md#Status and scope,تطابق المصدر المشار إليه؛ لا يُفترض اعتماد مؤلفين نهائي,للبند 7: تحديث التحرير لاحقًا؛ للبند 9: توفير مشروع الوعاء وقراره؛ بقية البنود لا تحتاج تجربة
3 — المصدر والأدوار والنوافذ,6000/2000/5000 لكل مصدر؛ 5/15/60 دقيقة إلى root+24h,مطابق؛ Weibo root-user-disjoint وSEISMIC retrospective chronological,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md#3.1–3.2,تطابق المصدر المشار إليه؛ لا يُفترض اعتماد مؤلفين نهائي,للبند 7: تحديث التحرير لاحقًا؛ للبند 9: توفير مشروع الوعاء وقراره؛ بقية البنود لا تحتاج تجربة
4 — I0/I1 والعائلات,حجم ومدة؛ سبعة ملخصات توقيت؛ Hurdle/QRF/NGBoost,"log1p(count), log(window) وإضافة سبعة ملخصات",متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md#3.3–4.1,تطابق المصدر المشار إليه؛ لا يُفترض اعتماد مؤلفين نهائي,للبند 7: تحديث التحرير لاحقًا؛ للبند 9: توفير مشروع الوعاء وقراره؛ بقية البنود لا تحتاج تجربة
5 — النتائج الأساسية,Weibo 0.69–4.31%; SEISMIC 7.25–13.48%; 6 intervals exclude 0,تطابق القيم المقربة واتجاه الفواصل الست,متسق,BRACE-Phase13F-20260913/run/analysis/PRIMARY_COMPARISONS.json[*],تطابق المصدر المشار إليه؛ لا يُفترض اعتماد مؤلفين نهائي,للبند 7: تحديث التحرير لاحقًا؛ للبند 9: توفير مشروع الوعاء وقراره؛ بقية البنود لا تحتاج تجربة
6 — QRF والمرجع الشرطي,QRF-I1 الأقل وصفيًا؛ 6.91% و8.61% فوق المرجع الشرطي,مطابق؛ لا اختبار تفوق شامل,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md#6.2; BRACE-Phase13F-20260913/run/analysis/PROCEDURE_METRICS.json,تطابق المصدر المشار إليه؛ لا يُفترض اعتماد مؤلفين نهائي,للبند 7: تحديث التحرير لاحقًا؛ للبند 9: توفير مشروع الوعاء وقراره؛ بقية البنود لا تحتاج تجربة
7 — الضجيج,مكتمل؛ 7 أعمدة و3 تحقيقات و12 مقارنة مستقلة عن الأساسية,سجلات التنفيذ مكتملة وتطابق الأرقام؛ النص المحلي لا يزال pending,متسق,BRACE-Phase14-20260913/run/PHASE14_REPORT.json#noise_analysis; BRACE-Phase14-20260913/run/stage_b/NOISE_COMPARISONS.csv,تطابق المصدر المشار إليه؛ لا يُفترض اعتماد مؤلفين نهائي,للبند 7: تحديث التحرير لاحقًا؛ للبند 9: توفير مشروع الوعاء وقراره؛ بقية البنود لا تحتاج تجربة
8 — الشرائح والمعايرة,90 فرقًا:64 سالبًا و26 موجبًا؛6 دون فواصل؛لا عتبة ولا سببية,مطابق للجداول التجميعية؛ departures باقية,متسق,BRACE-Phase14-20260913/run/stage_a/TIMING_STRATA.csv; BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md#6.3–6.5,تطابق المصدر المشار إليه؛ لا يُفترض اعتماد مؤلفين نهائي,للبند 7: تحديث التحرير لاحقًا؛ للبند 9: توفير مشروع الوعاء وقراره؛ بقية البنود لا تحتاج تجربة
9 — الخطوة التالية,لا تجربة تلقائية؛ IEEE Access/Overleaf لاحقًا بإفصاحات مؤكدة,لا تجربة تلقائية مؤكد؛ اختيار IEEE وحزمة 35 مرجعًا/13+19 صفحة غير مثبت محليًا,غير متحقق,"BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/CLAIM_EVIDENCE_LEDGER.md#remaining decisions; BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md#Data, code and declarations",تطابق المصدر المشار إليه؛ لا يُفترض اعتماد مؤلفين نهائي,للبند 7: تحديث التحرير لاحقًا؛ للبند 9: توفير مشروع الوعاء وقراره؛ بقية البنود لا تحتاج تجربة
نص المخطوطة: ## 2. Related work and the comparison being made,القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::## 2. Related work and the comparison being made,مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
