key,verification_basis,primary_url,metadata_snapshot,notes
szabo2010,primary_page_or_author_abstract_checked; full-text reading not asserted,https://arxiv.org/abs/0811.0405,audit/recovered_metadata/szabo2010.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
pinto2013,inherited_publisher_deposited_metadata_only,https://doi.org/10.1145/2433396.2433443,audit/recovered_metadata/pinto2013.json,Inherited publisher-deposited Crossref metadata; no successful fresh full-text retrieval recorded in this pass.
cheng2014,primary_page_or_author_abstract_checked; full-text reading not asserted,https://arxiv.org/abs/1403.4608,audit/recovered_metadata/cheng2014.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
mishra2016,primary_page_or_author_abstract_checked; full-text reading not asserted,https://arxiv.org/abs/1608.04862,audit/recovered_metadata/mishra2016.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
tideh2016,primary_page_or_author_abstract_checked; full-text reading not asserted,https://ojs.aaai.org/index.php/ICWSM/article/view/14717,audit/recovered_metadata/tideh2016.json,Conference issue is 2016; publisher migration page says 2021. Cite the conference issue year.
haimovich2022,primary_page_or_author_abstract_checked; full-text reading not asserted,https://arxiv.org/abs/2009.02092,audit/recovered_metadata/haimovich2022.json,ArXiv author record specifies VLDB 2022. Journal volume/issue/pages retained from deposited metadata.
counts2008,primary_page_or_author_abstract_checked; full-text reading not asserted,https://www.jstatsoft.org/article/view/v027i08,audit/recovered_metadata/counts2008.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
proper2007,inherited_publisher_deposited_metadata_only,https://doi.org/10.1198/016214506000001437,audit/recovered_metadata/proper2007.json,Publisher DOI request blocked; inherited publisher-deposited Crossref metadata inspected. Full article not re-read in this pass.
czado2009,primary_page_or_author_abstract_checked; full-text reading not asserted,https://academic.oup.com/biometrics/article/65/4/1254/7333505,audit/recovered_metadata/czado2009.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
scoring2019,primary_page_or_author_abstract_checked; full-text reading not asserted,https://www.jstatsoft.org/article/view/v090i12,audit/recovered_metadata/scoring2019.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
martin2016,primary_page_or_author_abstract_checked; full-text reading not asserted,https://arxiv.org/abs/1602.01013,audit/recovered_metadata/martin2016.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
hooker2021,primary_page_or_author_abstract_checked; full-text reading not asserted,https://link.springer.com/article/10.1007/s11222-021-10057-z,audit/recovered_metadata/hooker2021.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
rpp2014,primary_page_or_author_abstract_checked; full-text reading not asserted,https://ojs.aaai.org/index.php/AAAI/article/view/8739,audit/recovered_metadata/rpp2014.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
wei2014,primary_page_or_author_abstract_checked; full-text reading not asserted,https://link.springer.com/article/10.1007/s11749-014-0380-8,audit/recovered_metadata/wei2014.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
kolassa2016,primary_page_or_author_abstract_checked; full-text reading not asserted,https://research.lancaster-university.uk/en/publications/evaluating-predictive-count-data-distributions-in-retail-sales-fo/,audit/recovered_metadata/kolassa2016.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
calibration2007,primary_page_or_author_abstract_checked; full-text reading not asserted,https://academic.oup.com/jrsssb/article/69/2/243/7109375,audit/recovered_metadata/calibration2007.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
gneiting2011,primary_page_or_author_abstract_checked; full-text reading not asserted,https://arxiv.org/abs/0912.0902,audit/recovered_metadata/gneiting2011.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
brier1950,inherited_publisher_deposited_metadata_only,https://doi.org/10.1175/1520-0493(1950)078<0001:vofeit>2.0.co;2,audit/recovered_metadata/brier1950.json,Inherited publisher-deposited Crossref metadata; no successful fresh full-text retrieval recorded in this pass.
deephawkes2017,primary_page_or_author_abstract_checked; full-text reading not asserted,https://github.com/CaoQi92/DeepHawkes,audit/recovered_metadata/deephawkes2017.json,Data release and sample provenance checked on authors repository; proceedings metadata inherited.
casflow2023,primary_page_or_author_abstract_checked; full-text reading not asserted,https://www.xoveexu.com/file/paper/21-11-TKDE-CasFlow.pdf,audit/recovered_metadata/casflow2023.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
hip2017,primary_page_or_author_abstract_checked; full-text reading not asserted,https://arxiv.org/abs/1602.06033,audit/recovered_metadata/hip2017.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
zhou2021,primary_page_or_author_abstract_checked; full-text reading not asserted,https://arxiv.org/abs/2005.11041,audit/recovered_metadata/zhou2021.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
seismic2015,primary_page_or_author_abstract_checked; full-text reading not asserted,https://snap.stanford.edu/seismic/,audit/recovered_metadata/seismic2015.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
maseptide2018,primary_page_or_author_abstract_checked; full-text reading not asserted,https://arxiv.org/abs/1802.09304,audit/recovered_metadata/maseptide2018.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
casper2022,primary_page_or_author_abstract_checked; full-text reading not asserted,https://proceedings.mlr.press/v162/zhang22a.html,audit/recovered_metadata/casper2022.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
ctcp2023,primary_page_or_author_abstract_checked; full-text reading not asserted,https://www.ijcai.org/proceedings/2023/247,audit/recovered_metadata/ctcp2023.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
casft2024,primary_page_or_author_abstract_checked; full-text reading not asserted,https://ojs.aaai.org/index.php/AAAI/article/view/33296,,"Key retained for source compatibility; citation updated to AAAI 2025, 39(11), 11906-11914 from publisher."
cascadebench2026,primary_page_or_author_abstract_checked; full-text reading not asserted,https://arxiv.org/abs/2510.25348,,"Version 3 dated 2026-09-03; preprint only, no acceptance claim. Neutral author-based label replaces an unverified nickname."
qrf2006,primary_page_or_author_abstract_checked; full-text reading not asserted,https://www.jmlr.org/papers/v7/meinshausen06a.html,audit/recovered_metadata/qrf2006.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
ngboost2020,primary_page_or_author_abstract_checked; full-text reading not asserted,https://proceedings.mlr.press/v119/duan20a/duan20a.pdf,audit/recovered_metadata/ngboost2020.json,Primary PDF confirms Anand Avati name order; publisher web author export differs.
cawley2010,primary_page_or_author_abstract_checked; full-text reading not asserted,https://www.jmlr.org/papers/v11/cawley10a.html,audit/recovered_metadata/cawley2010.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
hofman2017,primary_page_or_author_abstract_checked; full-text reading not asserted,https://www.microsoft.com/en-us/research/publication/prediction-explanation-social-systems/,audit/recovered_metadata/hofman2017.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
mentch2022,primary_page_or_author_abstract_checked; full-text reading not asserted,https://jmlr.org/papers/v23/20-1264.html,audit/recovered_metadata/mentch2022.json,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
deepcas2016,primary_page_or_author_abstract_checked; full-text reading not asserted,https://arxiv.org/abs/1611.05373,,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
openai2026,AI_system_disclosure,https://openai.com/codex/,,"System disclosure entry, not a scientific reference."
strobl2007,primary_page_or_author_abstract_checked; full-text reading not asserted,https://pmc.ncbi.nlm.nih.gov/articles/PMC1796903/,,Metadata checked against available primary record/abstract and inherited metadata; no exhaustive literature or full-text audit claim.
concat2025,author_publication_record; explicit scope limitation,https://sites.google.com/site/yangdingqi/home/publication,,Authors/title and TKDE 2025 corroborated by author publication page; arXiv abstract inspected. Unverified DOI omitted; volume/pages not invented.
mmcas2026,author_publication_record; explicit scope limitation,https://sites.google.com/site/yangdingqi/home/publication,,Title/authors/WWW 2026 corroborated by author publication page only. Full text retrieval failed; cited solely for multimodal scope.
