key,manuscript_title,source_title,title_match_ignoring_case_markup_punctuation,source_url,basis_and_limits
szabo2010,Predicting the popularity of online content,Predicting the popularity of online content,True,https://arxiv.org/abs/0811.0405,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
pinto2013,Using early view patterns to predict the popularity of youtube videos,Using early view patterns to predict the popularity of youtube videos,True,https://doi.org/10.1145/2433396.2433443,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
cheng2014,Can cascades be predicted?,Can cascades be predicted?,True,https://arxiv.org/abs/1403.4608,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
mishra2016,Feature Driven and Point Process Approaches for Popularity Prediction,Feature Driven and Point Process Approaches for Popularity Prediction,True,https://arxiv.org/abs/1608.04862,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
tideh2016,TiDeH: Time-Dependent Hawkes Process for Predicting Retweet Dynamics,TiDeH: Time-Dependent Hawkes Process for Predicting Retweet Dynamics,True,https://ojs.aaai.org/index.php/ICWSM/article/view/14717,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
haimovich2022,Popularity prediction for social media over arbitrary time horizons,Popularity prediction for social media over arbitrary time horizons,True,https://arxiv.org/abs/2009.02092,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
counts2008,Regression Models for Count Data in R,"Regression Models for Count Data in
                    <i>R</i>",True,https://www.jstatsoft.org/article/view/v027i08,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
proper2007,"Strictly Proper Scoring Rules, Prediction, and Estimation","Strictly Proper Scoring Rules, Prediction, and Estimation",True,https://doi.org/10.1198/016214506000001437,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
czado2009,Predictive Model Assessment for Count Data,Predictive Model Assessment for Count Data,True,https://academic.oup.com/biometrics/article/65/4/1254/7333505,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
scoring2019,Evaluating Probabilistic Forecasts with scoringRules,"Evaluating Probabilistic Forecasts with
                    <b>scoringRules</b>",True,https://www.jstatsoft.org/article/view/v090i12,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
martin2016,Exploring Limits to Prediction in Complex Social Systems,Exploring Limits to Prediction in Complex Social Systems,True,https://arxiv.org/abs/1602.01013,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
hooker2021,"Unrestricted permutation forces extrapolation: variable importance requires at least one more model, or there is no free variable importance","Unrestricted permutation forces extrapolation: variable importance requires at least one more model, or there is no free variable importance",True,https://link.springer.com/article/10.1007/s11222-021-10057-z,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
rpp2014,Modeling and Predicting Popularity Dynamics via Reinforced Poisson Processes,Modeling and Predicting Popularity Dynamics via Reinforced Poisson Processes,True,https://ojs.aaai.org/index.php/AAAI/article/view/8739,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
wei2014,Calibration tests for count data,Calibration tests for count data,True,https://link.springer.com/article/10.1007/s11749-014-0380-8,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
kolassa2016,Evaluating predictive count data distributions in retail sales forecasting,Evaluating predictive count data distributions in retail sales forecasting,True,https://research.lancaster-university.uk/en/publications/evaluating-predictive-count-data-distributions-in-retail-sales-fo/,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
calibration2007,"Probabilistic Forecasts, Calibration and Sharpness","Probabilistic Forecasts, Calibration and Sharpness",True,https://academic.oup.com/jrsssb/article/69/2/243/7109375,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
gneiting2011,Making and Evaluating Point Forecasts,Making and Evaluating Point Forecasts,True,https://arxiv.org/abs/0912.0902,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
brier1950,Verification of Forecasts Expressed in Terms of Probability,VERIFICATION OF FORECASTS EXPRESSED IN TERMS OF PROBABILITY,True,https://doi.org/10.1175/1520-0493(1950)078<0001:vofeit>2.0.co;2,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
deephawkes2017,DeepHawkes: Bridging the Gap between Prediction and Understanding of Information Cascades,DeepHawkes: Bridging the Gap between Prediction and Understanding of Information Cascades,True,https://github.com/CaoQi92/DeepHawkes,Author release plus publisher-deposited title/subtitle from archived metadata.
casflow2023,CasFlow: Exploring Hierarchical Structures and Propagation Uncertainty for Cascade Prediction,CasFlow: Exploring Hierarchical Structures and Propagation Uncertainty for Cascade Prediction,True,https://www.xoveexu.com/file/paper/21-11-TKDE-CasFlow.pdf,Literal title checked against archived publisher-deposited metadata; live page/full-text access level remains as documented in REFERENCE_AUDIT_PREVIOUS.csv.
hip2017,Expecting to be HIP: Hawkes Intensity Processes for Social Media Popularity,Expecting to be HIP: Hawkes Intensity Processes for Social Media Popularity,True,https://arxiv.org/abs/1602.06033,Author manuscript record and publisher-deposited subtitle.
zhou2021,"A Survey of Information Cascade Analysis: Models, Predictions, and Recent Advances","A Survey of Information Cascade Analysis: Models, Predictions, and Recent Advances",True,https://arxiv.org/abs/2005.11041,Author manuscript record and publisher-deposited subtitle.
seismic2015,SEISMIC: A Self-Exciting Point Process Model for Predicting Tweet Popularity,SEISMIC: A Self-Exciting Point Process Model for Predicting Tweet Popularity,True,https://snap.stanford.edu/seismic/,Author project publication record checked in preceding preparation pass.
maseptide2018,Marked self-exciting point process modelling of information diffusion on Twitter,Marked self-exciting point process modelling of information diffusion on Twitter,True,https://projecteuclid.org/journals/annals-of-applied-statistics/volume-12/issue-4/Marked-self-exciting-point-process-modelling-of-information-diffusion-on/10.1214/18-AOAS1148.full,Publisher indexed bibliographic record and author manuscript PDF; published edition substituted.
casper2022,Anytime Information Cascade Popularity Prediction via Self-Exciting Processes,Anytime Information Cascade Popularity Prediction via Self-Exciting Processes,True,https://proceedings.mlr.press/v162/zhang22a.html,Publisher page checked in preceding preparation pass; inherited fuzzy candidate was a different 2024 article and is rejected.
ctcp2023,Continuous-Time Graph Learning for Cascade Popularity Prediction,Continuous-Time Graph Learning for Cascade Popularity Prediction,True,https://www.ijcai.org/proceedings/2023/247,Publisher proceedings page checked in preceding preparation pass.
casft2024,CasFT: Future Trend Modeling for Information Popularity Prediction with Dynamic Cues-Driven Diffusion Models,CasFT: Future Trend Modeling for Information Popularity Prediction with Dynamic Cues-Driven Diffusion Models,True,https://ojs.aaai.org/index.php/AAAI/article/view/33296,Primary publisher page checked during preceding preparation; published AAAI 2025 edition.
cascadebench2026,From Leakage to Fidelity: Reliable Benchmarking for Temporal Cascade Prediction,From Leakage to Fidelity: Reliable Benchmarking for Temporal Cascade Prediction,True,https://arxiv.org/pdf/2510.25348v3,"Version-specific arXiv landing page and PDF opened. Title, 3 Sep 2026 date, author list, three protocols and repository name corroborated. Remains preprint."
qrf2006,Quantile Regression Forests,Quantile Regression Forests,True,https://www.jmlr.org/papers/v7/meinshausen06a.html,"Current publisher page; rejected inherited candidate was an R package, not this paper."
ngboost2020,NGBoost: Natural Gradient Boosting for Probabilistic Prediction,NGBoost: Natural Gradient Boosting for Probabilistic Prediction,True,https://proceedings.mlr.press/v119/duan20a/duan20a.pdf,Publisher page and PDF; use Anand Avati from the PDF rather than inverted web metadata.
cawley2010,On Over-fitting in Model Selection and Subsequent Selection Bias in Performance Evaluation,On Over-fitting in Model Selection and Subsequent Selection Bias in Performance Evaluation,True,https://www.jmlr.org/papers/v11/cawley10a.html,Current publisher page; inherited candidate was a different work and is rejected.
hofman2017,Prediction and Explanation in Social Systems,Prediction and Explanation in Social Systems,True,https://www.microsoft.com/en-us/research/publication/prediction-explanation-social-systems/,Author institutional publication page checked in preceding preparation pass.
mentch2022,Getting Better from Worse: Augmented Bagging and A Cautionary Tale of Variable Importance,Getting Better from Worse: Augmented Bagging and A Cautionary Tale of Variable Importance,True,https://jmlr.org/papers/v23/20-1264.html,Current publisher page; inherited candidate was a different work and is rejected.
deepcas2016,DeepCas: An End-to-end Predictor of Information Cascades,DeepCas: An End-to-end Predictor of Information Cascades,True,https://archives.iw3c2.org/www2017/proceedings/proceedings/p577.pdf,Official proceedings PDF opened; published edition substituted.
openai2026,ChatGPT and Codex,ChatGPT and Codex,True,https://openai.com/codex/,Software citation retained for the explicit Access section-citation requirement; not scientific evidence.
strobl2007,"Bias in Random Forest Variable Importance Measures: Illustrations, Sources and a Solution","Bias in random forest variable importance measures: Illustrations, sources and a solution",True,https://pmc.ncbi.nlm.nih.gov/articles/PMC1796903/,Full primary article available in PMC; checked in preceding preparation pass.
concat2025,"On Your Mark, Get Set, Predict! Modeling Continuous-Time Dynamics of Cascades for Information Popularity Prediction","On Your Mark, Get Set, Predict! Modeling Continuous-Time Dynamics of Cascades for Information Popularity Prediction",True,https://arxiv.org/pdf/2409.16623,Author PDF title and relevant method passages read. Journal/year on author page; DOI corroborated in IEEE Computer Society indexed metadata; Xplore body not readable.
